utterance_id,session_id,timestamp,language,original_text,translated_text,arousal,valence,dominance,label,intensity,flagged,coaching_note,latency_ms
ab365691-0454-4bb1-9202-896a55310287,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:53:32.561406,en,you clearly have no idea what you are doing this is a disaster,you clearly have no idea what you are doing this is a disaster,0.715,0.137,0.789,Angry / Hostile,0.566,True,,
e3caa1f7-c92f-4b4e-b111-3cd9125f8f6b,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:53:39.715750,en,i want a refund immediately or i will dispute this charge,i want a refund immediately or i will dispute this charge,0.769,0.296,0.816,Angry / Hostile,0.566,True,,
b6b69b46-f8c7-4c61-902c-3737e0b4c0ce,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:53:47.162332,en,this is the third time this has happened i am done with your company,this is the third time this has happened i am done with your company,0.711,0.347,0.764,Angry / Hostile,0.481,True,"The customer's escalating frustration is becoming overwhelming. Consider taking a deep breath and acknowledging their emotional state, then rephrase their statement to show empathy and understanding, while maintaining a calm tone, to de-escalate the situation and create an opportunity for a more constructive conversation.",3370.63
469340de-8285-4a05-98cb-feb854ff423a,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:53:53.129130,en,i would like to check the status of my order please,i would like to check the status of my order please,0.439,0.489,0.541,Calm / Neutral,0.172,False,,
eb5ef882-0d52-473f-a918-c2fcfa4643cc,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:53:58.587352,en,can you tell me what my account balance is,can you tell me what my account balance is,0.496,0.472,0.59,Excited / Enthusiastic,0.225,False,,
b5bc5b57-68c4-42d2-84c9-a1167173ae13,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:54:04.733658,en,i need to update my shipping address for the next deliver,i need to update my shipping address for the next deliver,0.412,0.518,0.547,Calm / Neutral,0.189,False,,
3b997715-bfa1-4c30-a745-0f57297dcd27,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:54:10.910102,en,i was charged twice for the same item last,i was charged twice for the same item last,0.401,0.285,0.546,Negative,0.186,True,"The customer is escalating their concern about the repeated issue, and their emotional intensity is increasing with each statement. Consider empathizing with their frustration by acknowledging the inconvenience they've experienced and offering a clear plan to resolve the issue, such as ""I apologize for the repeated errors, and I'm happy to help you resolve this. Can you please hold for just a moment while I look into this further and provide a more accurate update on your account?""",3841.21
d684a853-05d8-4f11-80cb-2c50ea6f6911,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:54:16.772436,en,i have a question about my subscription plan,i have a question about my subscription plan,0.434,0.493,0.567,Calm / Neutral,0.194,False,,
a26bd06c-4a8d-46f4-ae63-010c3f83d6c4,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:54:24.235660,en,my package has not arrived yet expected date was yesterday,my package has not arrived yet expected date was yesterday,0.439,0.374,0.561,Calm / Neutral,0.168,False,,
2eefd2f1-85bd-4aaa-83b8-650bcd77789f,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:54:30.820590,en,i would like to cancel my appointment scheduled for,i would like to cancel my appointment scheduled for,0.42,0.433,0.535,Calm / Neutral,0.14,False,,
e77d2ac5-4f41-4be0-a5f5-72cd0b7bf9db,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:54:37.782540,en,can you explain the difference between the two plans you offer,can you explain the difference between the two plans you offer,0.479,0.495,0.574,Excited / Enthusiastic,0.213,False,,
45634fea-5fd2-44b1-9cfc-0259d5eb3d58,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:54:43.545678,en,i need a receipt for my purchase from last week,i need a receipt for my purchase from last week,0.41,0.507,0.547,Calm / Neutral,0.182,False,,
94fd5183-a843-4fb2-8189-b84059237833,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:54:50.788686,en,i am calling to confirm my reservation for next tuesday,i am calling to confirm my reservation for next tuesday,0.472,0.486,0.589,Excited / Enthusiastic,0.22,False,,
89f2b6b6-0b36-418a-9cd2-5725a95a6884,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:54:59.940341,it,ho appena ricevuto il mio ordine e tutto è perfetto grazie mille,I just received my order and everything is perfect A thousand thanks,0.596,0.572,0.625,Excited / Enthusiastic,0.345,False,,
f3a96ccc-7a4b-4ab4-b999-3c7008640743,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:55:06.690424,it,il vostro team è stato incredibilmente disponibile lo apprezzo davvero,your team was incredibly helpful I really appreciate it,0.533,0.534,0.566,Excited / Enthusiastic,0.251,False,,
e4b9ade6-d496-4904-addd-fc5f59faeaae,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:55:13.830789,it,sono cliente da anni e sono sempre soddisfatto,I have been a customer for years and I am always satisfied,0.449,0.469,0.534,Calm / Neutral,0.158,False,,
49ff059d-5cb8-4c36-8e80-bfe96cee9067,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:55:24.143810,it,la gente con cui ho parlato l'ultima volta era fantastico trasmettete i miei ringraziamenti,the people I spoke to last time were great Please pass on my thanks,0.439,0.628,0.537,Calm / Neutral,0.269,False,,
1412dfea-74b0-40c5-9ce6-55a684dada03,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:55:30.825114,it,sono così contento che abbiate risolto tutto così rapidamente,I'm so glad you got everything sorted out so quickly,0.518,0.541,0.545,Excited / Enthusiastic,0.234,False,,
06c1df20-f3ad-4f3e-b055-881f1a276c11,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:55:38.695462,it,questa è stata la migliore esperienza di servizio clienti che abbia mai avuto,this was the best customer service experience I have ever had,0.471,0.535,0.545,Excited / Enthusiastic,0.211,False,,
c2407942-3c14-4f4f-bbc7-4d6808a726f2,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:55:46.082585,it,volevo solo chiamare per dire quanto sono felice del vostro prodotto,I just wanted to call to say how happy I am with your product,0.499,0.514,0.562,Excited / Enthusiastic,0.221,False,,
2bdb48ff-a600-4190-9d6c-b3be2daf8cad,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:55:53.668204,it,è andato tutto perfettamente non potrei essere più soddisfatto,everything went perfectly I couldn't be more satisfied,0.528,0.475,0.577,Excited / Enthusiastic,0.231,False,,
289d5134-254d-4c16-866c-f5daab7a9230,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:56:01.584341,it,grazie per aver fatto il possibile e anche di più per aiutarmi oggi,Thank you for going above and beyond to help me today,0.57,0.59,0.63,Excited / Enthusiastic,0.343,False,,
0f6bd52f-c811-4afd-80e9-b4606da0f471,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:56:09.244830,it,sono davvero impressionata dalla professionalità del vostro personale,I'm really impressed by the professionalism of your staff,0.522,0.551,0.577,Excited / Enthusiastic,0.263,False,,
ceacc2c5-8713-49ed-af13-c3630d5aafc8,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:56:18.400256,it,quest è assolutamente inaccettabile voglio parlare con il tuo responsabile adesso,quest this is absolutely unacceptable I want to speak to your manager Now,0.712,0.595,0.735,Excited / Enthusiastic,0.497,False,,
fd6a7e5c-1373-4580-a729-0340a0c2f0e1,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:56:25.267487,it,voi mi avete fatto perdere tutta la giornata sono furioso,you made me lose I'm furious all day,0.84,0.435,0.826,High energy,0.614,False,,
275162d1-8590-4211-933f-eb91742d94a4,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:56:31.381326,it,perché non si sistema mai niente è ridicolo,because nothing ever gets fixed it's ridiculous,0.726,0.669,0.733,Excited / Enthusiastic,0.538,False,,
73e0dfb1-e05f-4984-bc8f-d316bae74c42,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:56:38.923503,it,ok chiamato cinque volte e nessuno mi aiutato cosa vi prende,ok chiamato cinque volte e nessuno mi aiutato cosa vi prende,0.758,0.537,0.759,Excited / Enthusiastic,0.525,False,,
6c86df9c-2abb-4774-8e59-b9de5c1dfac0,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:56:46.292667,it,questo è il peggior servizio che abbia mai ricevuto in vita mia,this is the worst service that I have ever received in my life,0.619,0.54,0.673,Excited / Enthusiastic,0.377,False,,
5c0cd3ea-ca28-44c9-9074-6d78e829a3e1,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:56:53.226308,it,non pagherò per questo mi avete completamente deluso,I won't pay for it you have completely disappointed me,0.737,0.476,0.75,Excited / Enthusiastic,0.492,False,,
3c9ffaac-e1a2-4885-849d-8204ee1d9d90,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:56:59.285456,it,smettila di mettermi in attesa aspetto da quaranta minuti,stop putting me on hold I've been waiting for forty minutes,0.655,0.493,0.64,Excited / Enthusiastic,0.362,False,,
377120f0-6289-4413-a370-fee3ea4be8bf,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:57:06.134971,it,chiaramente non sai quello che stai facendo è un disastro,you clearly don't know what you're doing it's a disaster,0.838,0.317,0.814,Angry / Hostile,0.608,True,"The customer's escalating emotions and language suggest a growing sense of frustration and helplessness, which may be leading to a more confrontational tone. Consider offering a calming pause to de-escalate the situation, allowing the customer to collect their thoughts before responding, and reiterate the supervisor's willingness to listen and assist.",3456.1
c4a5ecff-c02a-4267-81c3-4e0160f90d27,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:57:14.042709,it,voglio un rimborso immediatamente o contesterò l'addebito,I want a refund immediately or I will dispute the charge,0.663,0.576,0.678,Excited / Enthusiastic,0.421,False,,
3acf1e06-452f-4c9d-abed-60a5d21ccfe6,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:57:21.521582,it,è la terza volta che succede ho finito con la vostra azienda,this is the third time this has happened I'm done with your company,0.605,0.555,0.654,Excited / Enthusiastic,0.361,False,,
0e755ba2-b429-469f-bcc1-9843af4e60b7,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:57:27.958385,it,vorrei verificare lo stato del mio ordine per favore,I would like check the status of my order please,0.482,0.51,0.526,Excited / Enthusiastic,0.186,False,,
31030e53-1a03-4699-bcc3-22a0506c693f,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:57:32.866734,it,può dirmi qual è il saldo del mio conto,can you tell me what my account balance is,0.474,0.563,0.543,Excited / Enthusiastic,0.23,False,,
6a55d72b-e25e-43aa-aef9-cde824bd33d8,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:57:39.925210,it,devo aggiornare il mio indirizzo di spedizione per la prossima consegna,I need to update my address shipping for the next delivery,0.499,0.48,0.557,Excited / Enthusiastic,0.202,False,,
018cac0b-1146-448b-af4b-20b49aefc716,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:57:47.277821,it,mi è stato addebitato due volte lo stesso articolo il mese scorso,it is me Was charged twice for the same item last month,0.499,0.536,0.571,Excited / Enthusiastic,0.24,False,,
1ce22fc6-02ef-4602-a1ad-2c17012714ae,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:57:53.255825,it,ho una domanda sul mio piano di abbonamento,I have a question about mine subscription plan,0.596,0.649,0.652,Excited / Enthusiastic,0.405,False,,
f5093e83-65bc-487f-b659-daaf4dbba4dc,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:58:01.501295,it,il mio pacco non è ancora arrivato la data prevista era,my package is not arrived yet the expected date was,0.502,0.496,0.563,Excited / Enthusiastic,0.215,False,,
7eb8b7c0-9806-4839-9b5f-42694114c4e0,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:58:06.571188,it,vorrei cancellare il mio appuntamento previsto per venerdì,I would like to cancel my appointment scheduled for Friday,0.529,0.56,0.553,Excited / Enthusiastic,0.256,False,,
d15b404f-02a6-4fbd-b115-a9f5977da801,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:58:13.106068,it,può spiegarmi la differenza tra i due piani che offrite,Can you explain to me the difference between the two plans you offer,0.48,0.471,0.556,Excited / Enthusiastic,0.189,False,,
d5ce3542-6aa9-40e2-8b23-527c77a6ad16,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:58:19.974734,it,ho bisogno di una ricevuta per il mio acquisto della settimana scorsa,I need a receipt for my purchase last week,0.412,0.523,0.498,Calm / Neutral,0.158,False,,
6e35624a-a50d-453b-aaac-dd672596cebd,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:58:26.734001,it,chiamo per confermare la mia prenotazione per martedì prossimo,I'm calling to confirm my reservation for next Tuesday,0.583,0.663,0.61,Excited / Enthusiastic,0.383,False,,
5b3f1915-770e-48cb-af1b-3ff2a7f4f54a,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:58:34.346758,es,acabo de recibir mi pedido y todo está perfecto muchas gracias,"I just received my order and everything is perfect, thank you very much",0.64,0.427,0.646,High energy,0.344,False,,
72821d1f-1785-4a5c-82c7-06fc1d6422e8,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:58:41.027806,es,su equipo fue increíblemente útil realmente lo agradezco,your team was incredibly helpful I really appreciate it,0.475,0.526,0.539,Excited / Enthusiastic,0.202,False,,
8a64a990-90cc-40c1-acae-ad0214c1b631,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:58:47.865080,es,soy cliente desde hace años y siempre estoy satisfecho,I have been a customer for years and I am always satisfied,0.501,0.537,0.577,Excited / Enthusiastic,0.246,False,,
25cd6d1a-9d32-45e6-81c3-1ba19601535d,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:58:57.309098,es,el agente con quien hablé la última vez fue maravilloso por favor transmitan mis agradecimientos,The agent I spoke to last time was wonderful. please convey my thanks,0.508,0.562,0.548,Excited / Enthusiastic,0.245,False,,
1a1f5fa6-5b70-4025-9607-059bd4c6428f,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:59:04.484436,es,estoy muy contento de que hayan podido resolver esto tan rápidamente,I'm so glad you were able to resolve this so quickly.,0.583,0.453,0.632,Excited / Enthusiastic,0.3,False,,
72a1a397-83d7-4850-a544-8af0c4557608,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:59:11.081123,es,esta ha sido la mejor experiencia de servicio al cliente que he tenido,This has been the best customer service experience I have ever had.,0.516,0.493,0.566,Excited / Enthusiastic,0.223,False,,
fa98dd0d-c462-49d4-8da2-03aeecdf523e,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:59:17.804892,es,solo quería llamar para decir lo feliz que estoy con su producto,I just wanted to call to say how happy I am with your product.,0.56,0.707,0.6,Excited / Enthusiastic,0.4,False,,
a252ddee-8dbd-4d52-9ab5-15f99770cf89,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:59:25.043198,es,todo salió perfectamente no podría estar más satisfecho,everything went perfectly I couldn't be more satisfied,0.624,0.33,0.679,Angry / Hostile,0.365,True,"Consider a brief pause to acknowledge the customer's satisfaction and then ask if there's anything else they'd like to discuss or if there's a specific aspect of their experience they'd like to see improved, to avoid overwhelming the customer with gratitude.",3305.56
40c7f297-a480-4d69-958f-52ca84aad731,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:59:30.225662,es,gracias por ir más allá para ayudarme hoy,thank you for going above and beyond to help me today,0.554,0.671,0.598,Excited / Enthusiastic,0.369,False,,
391ecdef-953b-43be-9ad9-0fe5f47bc41b,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:59:37.626817,es,estoy realmente impresionado con lo profesional que es su personal,I am really impressed with how professional your staff is.,0.499,0.556,0.562,Excited / Enthusiastic,0.246,False,,
4e31d05a-b9ba-4bcc-9977-67c9033da7de,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:59:45.665632,es,esto es absolutamente inaceptable quiero hablar con tu gerente ahora mismo,This is absolutely unacceptable I want to speak to your manager right now,0.654,0.466,0.679,Excited / Enthusiastic,0.383,False,,
b90414d8-7293-40b8-8b06-33028d705bb9,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:59:52.874621,es,ustedes me han hecho perder todo el día estoy furioso,you have made me lose all day I'm furious,0.592,0.491,0.648,Excited / Enthusiastic,0.326,False,,
d717dbf6-dd6d-466e-8d2c-6604c6166dee,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T11:59:58.367649,es,por qué nadie arregla nada aquí esto es ridículo,Why doesn't anyone fix anything here this is ridiculous,0.651,0.498,0.649,Excited / Enthusiastic,0.367,False,,
cd35deb2-ac5e-42bd-9a38-1dfaa392f0c2,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:00:05.746929,es,he llamado cinco veces y nadie me ha ayudado qué les pasa,"I have called five times and no one has helped me, what's wrong with them?",0.75,0.614,0.773,Excited / Enthusiastic,0.555,False,,
4abcf117-c25b-4387-ac3e-c2d8847c47f0,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:00:12.319078,es,este es el peor servicio que he experimentado en mi vida,This is the worst service I have ever experienced in my life.,0.505,0.533,0.565,Excited / Enthusiastic,0.236,False,,
ae37b962-5237-42ea-a1bb-f458c0082b18,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:00:18.763538,es,no voy a pagar por esto han fallado completamente,I'm not going to pay for this They have completely failed,0.648,0.455,0.694,Excited / Enthusiastic,0.389,False,,
2d9997c6-91db-4e2f-97fe-e3654f68d7ae,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:00:25.593143,es,deja de ponerme en espera llevo cuarenta minutos esperando,"stop putting me on hold, I've been waiting for forty minutes",0.579,0.437,0.627,High energy,0.291,False,,
690a9ab2-7950-4db9-89e7-20c9463efd59,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:00:32.432548,es,claramente no saben lo que están haciendo esto es un desastre,They clearly don't know what they are doing this is a disaster,0.678,0.38,0.724,High energy,0.427,False,,
22847a12-50db-40a4-bc9f-bf29ea3efb01,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:00:38.720038,es,quiero un reembolso de inmediato o disputaré el cargo,I want a refund immediately or I will dispute the charge.,0.67,0.509,0.667,Excited / Enthusiastic,0.395,False,,
53111091-c367-45c2-9909-69a1793f168e,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:00:45.968708,es,esta es la tercera vez que pasa esto terminé con su empresa,this is the third time this has happened I finished with your company,0.57,0.475,0.623,Excited / Enthusiastic,0.291,False,,
b60fb78c-08e6-4205-9731-48aa40f45a43,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:00:51.847684,es,me gustaría verificar el estado de mi pedido por favor,I would like to check the status of my order please,0.525,0.622,0.558,Excited / Enthusiastic,0.3,False,,
1c3614b0-4fce-4121-8366-d1cad26a4415,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:00:57.660128,es,puede decirme cuál es el de mi cuenta,can you tell me what the of my account,0.527,0.597,0.573,Excited / Enthusiastic,0.291,False,,
c37fa3bb-8bef-4b43-815f-04d3b5d3ac98,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:01:04.385937,es,necesito actualizar mi dirección de envío para la próxima,need update my shipping address for next,0.551,0.415,0.602,High energy,0.253,False,,
79b36bce-a024-46ee-9bd8-727da3e7aebb,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:01:09.996597,es,me cobraron dos veces el mismo artículo el mes pasado,I was charged twice for the same item last month,0.53,0.469,0.573,Excited / Enthusiastic,0.227,False,,
a54dd7f0-c30f-4d07-b69d-6cd742463258,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:01:16.340613,es,tengo una pregunta sobre mi plan de suscripción,I have a question about my subscription plan,0.639,0.579,0.665,Excited / Enthusiastic,0.399,False,,
eca4064f-cae1-4c01-ae04-22351a152019,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:01:23.828435,es,mi paquete no ha llegado todavía la fecha esperada era,my package has not arrived yet the expected date was,0.538,0.531,0.599,Excited / Enthusiastic,0.275,False,,
48cd88e8-439a-4e52-b631-57eec861af3a,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:01:29.642820,es,me gustaría cancelar mi cita programada para el viernes,I would like to cancel my appointment scheduled for friday,0.545,0.511,0.587,Excited / Enthusiastic,0.261,False,,
6c3fff51-d13e-43e4-8d90-d4d5a2234ba6,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:01:36.117770,es,puede explicarme la diferencia entre los dos planes que ofrece,can Explain to me the difference between the two plans you offer,0.557,0.544,0.597,Excited / Enthusiastic,0.29,False,,
c2a9063e-9213-4233-81a2-5eeeef8080aa,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:01:42.026290,es,necesito un recibo de mi compra de la semana pasada,need a receipt for my purchase from last week,0.559,0.571,0.603,Excited / Enthusiastic,0.31,False,,
72f21825-daaa-4a21-b69a-5de9557fd50e,cd972df7-cb8b-494f-b898-7f0c5dfeeba6,2026-08-18T12:01:48.540950,es,llamo para confirmar mi reserva para el próximo martes,called to confirm my reservation for next Tuesday,0.614,0.623,0.657,Excited / Enthusiastic,0.402,False,,
